年次,市区町村コード,全国，都道府県，市区町村,夜間人口
2020年,19214,中央市,31216
2020年,19346,市川三郷町,14700
2020年,19364,早川町,1098
2020年,19365,身延町,10663
2020年,19366,南部町,7156
2020年,19368,富士川町,14219
2020年,19384,昭和町,20909
2020年,19422,道志村,1607
2020年,19423,西桂町,4041
2020年,19424,忍野村,9237
2020年,19425,山中湖村,5179
2020年,19429,鳴沢村,2824
2020年,19430,富士河口湖町,26082
2020年,19442,小菅村,684
2020年,19443,丹波山村,530
2020年,20000,長野県,2048011
2020年,20201,長野市,372760
2020年,20202,松本市,241145
2020年,20203,上田市,154055
2020年,20204,岡谷市,47790
2020年,20205,飯田市,98164
2020年,20206,諏訪市,48729
2020年,20207,須坂市,49559
2020年,20208,小諸市,40991
2020年,20209,伊那市,66125
2020年,20210,駒ヶ根市,32202
2020年,20211,中野市,42338
2020年,20212,大町市,26029
2020年,20213,飯山市,19539
2020年,20214,茅野市,56400
2020年,20215,塩尻市,67241
2020年,20217,佐久市,98199
2020年,20218,千曲市,58852
2020年,20219,東御市,30122
2020年,20220,安曇野市,94222
2020年,20303,小海町,4353
2020年,20304,川上村,4344
2020年,20305,南牧村,3242
2020年,20306,南相木村,962
2020年,20307,北相木村,752
2020年,20309,佐久穂町,10218
2020年,20321,軽井沢町,19188
2020年,20323,御代田町,15555
2020年,20324,立科町,6612
2020年,20349,青木村,4121
2020年,20350,長和町,5600
2020年,20361,下諏訪町,19155
2020年,20362,富士見町,14084
2020年,20363,原村,7680
2020年,20382,辰野町,18555
2020年,20383,箕輪町,24989
2020年,20384,飯島町,9004
2020年,20385,南箕輪村,15797
2020年,20386,中川村,4651
2020年,20388,宮田村,8569
2020年,20402,松川町,12530
2020年,20403,高森町,12811
2020年,20404,阿南町,4299
2020年,20407,阿智村,6068
2020年,20409,平谷村,387
2020年,20410,根羽村,852
2020年,20411,下條村,3545
2020年,20412,売木村,548
2020年,20413,天龍村,1178
2020年,20414,泰阜村,1542
2020年,20415,喬木村,5973
2020年,20416,豊丘村,6426
2020年,20417,大鹿村,1023
2020年,20422,上松町,4131
2020年,20423,南木曽町,3915
2020年,20425,木祖村,2692
2020年,20429,王滝村,715
2020年,20430,大桑村,3439
2020年,20432,木曽町,10584
2020年,20446,麻績村,2593
2020年,20448,生坂村,1639
2020年,20450,山形村,8400
2020年,20451,朝日村,4279
2020年,20452,筑北村,4149
2020年,20481,池田町,9382
2020年,20482,松川村,9599
2020年,20485,白馬村,8575
2020年,20486,小谷村,2647
2020年,20521,坂城町,14004
2020年,20541,小布施町,10660
2020年,20543,高山村,6617
2020年,20561,山ノ内町,11352
2020年,20562,木島平村,4375
2020年,20563,野沢温泉村,3279
2020年,20583,信濃町,7739
2020年,20588,小川村,2215
2020年,20590,飯綱町,10296
2020年,20602,栄村,1660
2020年,21000,岐阜県,1978742
2020年,21201,岐阜市,402557
2020年,21202,大垣市,158286
2020年,21203,高山市,84419
2020年,21204,多治見市,106732
2020年,21205,関市,85283
2020年,21206,中津川市,76570
2020年,21207,美濃市,19247
2020年,21208,瑞浪市,37150
2020年,21209,羽島市,65649
2020年,21210,恵那市,47774
2020年,21211,美濃加茂市,56689
2020年,21212,土岐市,55348
2020年,21213,各務原市,144521
2020年,21214,可児市,99968
2020年,21215,山県市,25280
2020年,21216,瑞穂市,56388
2020年,21217,飛騨市,22538
2020年,21218,本巣市,32928
2020年,21219,郡上市,38997
2020年,21220,下呂市,30428
2020年,21221,海津市,32735
2020年,21302,岐南町,25881
2020年,21303,笠松町,22208
2020年,21341,養老町,26882
2020年,21361,垂井町,26402
2020年,21362,関ケ原町,6610
2020年,21381,神戸町,18585
2020年,21382,輪之内町,9654
2020年,21383,安八町,14355
2020年,21401,揖斐川町,19529
2020年,21403,大野町,22041
2020年,21404,池田町,23360
2020年,21421,北方町,18139
2020年,21501,坂祝町,8071
2020年,21502,富加町,5626
2020年,21503,川辺町,9860
2020年,21504,七宗町,3402
2020年,21505,八百津町,10195
2020年,21506,白川町,7412
2020年,21507,東白川村,2016
2020年,21521,御嵩町,17516
2020年,21604,白川村,1511
2020年,22000,静岡県,3633202
2020年,22100,静岡市,693389
2020年,22101,静岡市葵区,249297
2020年,22102,静岡市駿河区,213026
2020年,22103,静岡市清水区,231066
2020年,22130,浜松市,790718
2020年,22131,浜松市中区,235240
2020年,22132,浜松市東区,129356
2020年,22133,浜松市西区,108160
2020年,22134,浜松市南区,99769
2020年,22135,浜松市北区,92688
2020年,22136,浜松市浜北区,98779
2020年,22137,浜松市天竜区,26726
2020年,22203,沼津市,189386
2020年,22205,熱海市,34208
2020年,22206,三島市,107783
2020年,22207,富士宮市,128105
2020年,22208,伊東市,65491
2020年,22209,島田市,95719
2020年,22210,富士市,245392
2020年,22211,磐田市,166672
2020年,22212,焼津市,136845
2020年,22213,掛川市,114954
2020年,22214,藤枝市,141342
2020年,22215,御殿場市,86614
2020年,22216,袋井市,87864
2020年,22219,下田市,20183
2020年,22220,裾野市,50911
2020年,22221,湖西市,57885
2020年,22222,伊豆市,28190
2020年,22223,御前崎市,31103
2020年,22224,菊川市,47789
2020年,22225,伊豆の国市,46804
2020年,22226,牧之原市,43502
2020年,22301,東伊豆町,11488
2020年,22302,河津町,6870
2020年,22304,南伊豆町,7877
2020年,22305,松崎町,6038
2020年,22306,西伊豆町,7090
2020年,22325,函南町,36794
2020年,22341,清水町,31710
2020年,22342,長泉町,43336
2020年,22344,小山町,18568
2020年,22424,吉田町,28919
2020年,22429,川根本町,6206
2020年,22461,森町,17457
2020年,23000,愛知県,7542415
2020年,23100,名古屋市,2332176
2020年,23101,名古屋市千種区,165245
2020年,23102,名古屋市東区,84392
2020年,23103,名古屋市北区,162956
2020年,23104,名古屋市西区,151082
2020年,23105,名古屋市中村区,138599
2020年,23106,名古屋市中区,93100
2020年,23107,名古屋市昭和区,107599
2020年,23108,名古屋市瑞穂区,108332
2020年,23109,名古屋市熱田区,66957
2020年,23110,名古屋市中川区,220728
2020年,23111,名古屋市港区,143715
2020年,23112,名古屋市南区,134510
2020年,23113,名古屋市守山区,176587
2020年,23114,名古屋市緑区,248802
2020年,23115,名古屋市名東区,164755
2020年,23116,名古屋市天白区,164817
2020年,23201,豊橋市,371920
2020年,23202,岡崎市,384654
2020年,23203,一宮市,380073
2020年,23204,瀬戸市,127792
2020年,23205,半田市,117884
2020年,23206,春日井市,308681
2020年,23207,豊川市,184661
2020年,23208,津島市,60942
2020年,23209,碧南市,72458
2020年,23210,刈谷市,153834
2020年,23211,豊田市,422330
2020年,23212,安城市,187990
2020年,23213,西尾市,169046
2020年,23214,蒲郡市,79538
2020年,23215,犬山市,73090
2020年,23216,常滑市,58710
2020年,23217,江南市,98255
2020年,23219,小牧市,148831
2020年,23220,稲沢市,134751
2020年,23221,新城市,44355
2020年,23222,東海市,113787
2020年,23223,大府市,93123
2020年,23224,知多市,84364
2020年,23225,知立市,72193
2020年,23226,尾張旭市,83144
2020年,23227,高浜市,46106
2020年,23228,岩倉市,47983
2020年,23229,豊明市,69295
2020年,23230,日進市,91520
2020年,23231,田原市,59360
2020年,23232,愛西市,60829
2020年,23233,清須市,67352
2020年,23234,北名古屋市,86385
2020年,23235,弥富市,43025
2020年,23236,みよし市,61952
2020年,23237,あま市,86126
2020年,23238,長久手市,60162
2020年,23302,東郷町,43903
2020年,23342,豊山町,15613
2020年,23361,大口町,24305
2020年,23362,扶桑町,34133
2020年,23424,大治町,32399
2020年,23425,蟹江町,37338
2020年,23427,飛島村,4575
2020年,23441,阿久比町,28383
2020年,23442,東浦町,49596
2020年,23445,南知多町,16617
2020年,23446,美浜町,22496
2020年,23447,武豊町,43535
2020年,23501,幸田町,42449
2020年,23561,設楽町,4437
2020年,23562,東栄町,2942
2020年,23563,豊根村,1017
2020年,24000,三重県,1770254
2020年,24201,津市,274537
2020年,24202,四日市市,305424
2020年,24203,伊勢市,122765
2020年,24204,松阪市,159145
2020年,24205,桑名市,138613
2020年,24207,鈴鹿市,195670
2020年,24208,名張市,76387
2020年,24209,尾鷲市,16252
2020年,24210,亀山市,49835
2020年,24211,鳥羽市,17525
2020年,24212,熊野市,15965
2020年,24214,いなべ市,44973
2020年,24215,志摩市,46057
2020年,24216,伊賀市,88766
2020年,24303,木曽岬町,6023
2020年,24324,東員町,25784
2020年,24341,菰野町,40559
2020年,24343,朝日町,11021
2020年,24344,川越町,15123
2020年,24441,多気町,14021
2020年,24442,明和町,22445
2020年,24443,大台町,8668
2020年,24461,玉城町,15041
2020年,24470,度会町,7847
2020年,24471,大紀町,7815
2020年,24472,南伊勢町,10989
2020年,24543,紀北町,14604
2020年,24561,御浜町,8079
2020年,24562,紀宝町,10321
2020年,25000,滋賀県,1413610
2020年,25201,大津市,345070
2020年,25202,彦根市,113647
2020年,25203,長浜市,113636
2020年,25204,近江八幡市,81122
2020年,25206,草津市,143913
2020年,25207,守山市,83236
2020年,25208,栗東市,68820
2020年,25209,甲賀市,88358
2020年,25210,野洲市,50513
2020年,25211,湖南市,54460
2020年,25212,高島市,46377
2020年,25213,東近江市,112819
2020年,25214,米原市,37225
2020年,25383,日野町,20964
2020年,25384,竜王町,11789
2020年,25425,愛荘町,20893
2020年,25441,豊郷町,7132
2020年,25442,甲良町,6362
2020年,25443,多賀町,7274
2020年,26000,京都府,2578087
2020年,26100,京都市,1463723
2020年,26101,京都市北区,117165
2020年,26102,京都市上京区,83832
2020年,26103,京都市左京区,166039
2020年,26104,京都市中京区,110488
2020年,26105,京都市東山区,36602
2020年,26106,京都市下京区,82784
2020年,26107,京都市南区,101970
2020年,26108,京都市右京区,202047
2020年,26109,京都市伏見区,277858
2020年,26110,京都市山科区,135101
2020年,26111,京都市西京区,149837
2020年,26201,福知山市,77306
2020年,26202,舞鶴市,80336
2020年,26203,綾部市,31846
2020年,26204,宇治市,179630
2020年,26205,宮津市,16758
2020年,26206,亀岡市,86174
2020年,26207,城陽市,74607
2020年,26208,向日市,56859
2020年,26209,長岡京市,80608
2020年,26210,八幡市,70433
2020年,26211,京田辺市,73753
2020年,26212,京丹後市,50860
2020年,26213,南丹市,31629
2020年,26214,木津川市,77907
2020年,26303,大山崎町,15953
2020年,26322,久御山町,15250
2020年,26343,井手町,7406
2020年,26344,宇治田原町,8911
2020年,26364,笠置町,1144
2020年,26365,和束町,3478
2020年,26366,精華町,36198
2020年,26367,南山城村,2391
2020年,26407,京丹波町,12907
2020年,26463,伊根町,1928
2020年,26465,与謝野町,20092
2020年,27000,大阪府,8837685
2020年,27100,大阪市,2752412
2020年,27102,大阪市都島区,107904
2020年,27103,大阪市福島区,79328
2020年,27104,大阪市此花区,65251
2020年,27106,大阪市西区,105862
2020年,27107,大阪市港区,80948
2020年,27108,大阪市大正区,62083
2020年,27109,大阪市天王寺区,82148
2020年,27111,大阪市浪速区,75504
2020年,27113,大阪市西淀川区,95864
2020年,27114,大阪市東淀川区,177120
2020年,27115,大阪市東成区,84906
2020年,27116,大阪市生野区,127309
2020年,27117,大阪市旭区,89670
2020年,27118,大阪市城東区,169043
2020年,27119,大阪市阿倍野区,110995
2020年,27120,大阪市住吉区,153056
2020年,27121,大阪市東住吉区,127849
2020年,27122,大阪市西成区,106111
2020年,27123,大阪市淀川区,183444
2020年,27124,大阪市鶴見区,112691
2020年,27125,大阪市住之江区,120072
2020年,27126,大阪市平野区,192152
2020年,27127,大阪市北区,139376
2020年,27128,大阪市中央区,103726
2020年,27140,堺市,826161
2020年,27141,堺市堺区,148682
2020年,27142,堺市中区,121236
2020年,27143,堺市東区,85043
2020年,27144,堺市西区,135375
2020年,27145,堺市南区,138464
2020年,27146,堺市北区,159757
2020年,27147,堺市美原区,37604
2020年,27202,岸和田市,190658
2020年,27203,豊中市,401558
2020年,27204,池田市,104993
2020年,27205,吹田市,385567
2020年,27206,泉大津市,74412
2020年,27207,高槻市,352698
2020年,27208,貝塚市,84443
2020年,27209,守口市,143096
2020年,27210,枚方市,397289
2020年,27211,茨木市,287730
2020年,27212,八尾市,264642
2020年,27213,泉佐野市,100131
2020年,27214,富田林市,108699
2020年,27215,寝屋川市,229733
2020年,27216,河内長野市,101692
2020年,27217,松原市,117641
2020年,27218,大東市,119367
2020年,27219,和泉市,184495
2020年,27220,箕面市,136868
2020年,27221,柏原市,68775
2020年,27222,羽曳野市,108736
2020年,27223,門真市,119764
2020年,27224,摂津市,87456
2020年,27225,高石市,55635
2020年,27226,藤井寺市,63688
2020年,27227,東大阪市,493940
2020年,27228,泉南市,60102
2020年,27229,四條畷市,55177
2020年,27230,交野市,75033
2020年,27231,大阪狭山市,58435
2020年,27232,阪南市,51254
2020年,27301,島本町,30927
2020年,27321,豊能町,18279
2020年,27322,能勢町,9079
2020年,27341,忠岡町,16567
2020年,27361,熊取町,43763
2020年,27362,田尻町,8434
2020年,27366,岬町,14741
2020年,27381,太子町,13009
2020年,27382,河南町,15697
2020年,27383,千早赤阪村,4909
2020年,28000,兵庫県,5465002
2020年,28100,神戸市,1525152
2020年,28101,神戸市東灘区,213562
2020年,28102,神戸市灘区,136747
2020年,28105,神戸市兵庫区,109144
2020年,28106,神戸市長田区,94791
2020年,28107,神戸市須磨区,158719
2020年,28108,神戸市垂水区,215302
2020年,28109,神戸市北区,210492
2020年,28110,神戸市中央区,147518
2020年,28111,神戸市西区,238877
2020年,28201,姫路市,530495
2020年,28202,尼崎市,459593
2020年,28203,明石市,303601
2020年,28204,西宮市,485587
2020年,28205,洲本市,41236
2020年,28206,芦屋市,93922
2020年,28207,伊丹市,198138
2020年,28208,相生市,28355
2020年,28209,豊岡市,77489
2020年,28210,加古川市,260878
2020年,28212,赤穂市,45892
2020年,28213,西脇市,38673
2020年,28214,宝塚市,226432
2020年,28215,三木市,75294
2020年,28216,高砂市,87722
2020年,28217,川西市,152321
2020年,28218,小野市,47562
2020年,28219,三田市,109238
2020年,28220,加西市,42700
2020年,28221,丹波篠山市,39611
2020年,28222,養父市,22129
2020年,28223,丹波市,61471
2020年,28224,南あわじ市,44137
2020年,28225,朝来市,28989
2020年,28226,淡路市,41967
2020年,28227,宍粟市,34819
2020年,28228,加東市,40645
2020年,28229,たつの市,74316
2020年,28301,猪名川町,29680
2020年,28365,多可町,19261
2020年,28381,稲美町,30268
2020年,28382,播磨町,33604
2020年,28442,市川町,11231
2020年,28443,福崎町,19377
2020年,28446,神河町,10616
2020年,28464,太子町,33477
2020年,28481,上郡町,13879
2020年,28501,佐用町,15863
2020年,28585,香美町,16064
2020年,28586,新温泉町,13318
2020年,29000,奈良県,1324473
2020年,29201,奈良市,354630
2020年,29202,大和高田市,61744
2020年,29203,大和郡山市,83285
2020年,29204,天理市,63889
2020年,29205,橿原市,120922
2020年,29206,桜井市,54857
2020年,29207,五條市,27927
2020年,29208,御所市,24096
2020年,29209,生駒市,116675
2020年,29210,香芝市,78113
2020年,29211,葛城市,36832
2020年,29212,宇陀市,28121
2020年,29322,山添村,3226
2020年,29342,平群町,18009
2020年,29343,三郷町,23219
2020年,29344,斑鳩町,27587
2020年,29345,安堵町,7225
2020年,29361,川西町,8167
2020年,29362,三宅町,6439
2020年,29363,田原本町,31177
2020年,29385,曽爾村,1295
2020年,29386,御杖村,1479
2020年,29401,高取町,6729
2020年,29402,明日香村,5179
2020年,29424,上牧町,21714
2020年,29425,王寺町,24043
2020年,29426,広陵町,33810
2020年,29427,河合町,17018
2020年,29441,吉野町,6229
2020年,29442,大淀町,16728
2020年,29443,下市町,5037
2020年,29444,黒滝村,623
2020年,29446,天川村,1176
2020年,29447,野迫川村,357
2020年,29449,十津川村,3061
2020年,29450,下北山村,753
2020年,29451,上北山村,444
2020年,29452,川上村,1156
2020年,29453,東吉野村,1502
2020年,30000,和歌山県,922584
2020年,30201,和歌山市,356729
2020年,30202,海南市,48369
2020年,30203,橋本市,60818
2020年,30204,有田市,26538
2020年,30205,御坊市,23481
2020年,30206,田辺市,69870
2020年,30207,新宮市,27171
2020年,30208,紀の川市,58816
2020年,30209,岩出市,53967
2020年,30304,紀美野町,8256
2020年,30341,かつらぎ町,15967
2020年,30343,九度山町,3856
2020年,30344,高野町,2970
2020年,30361,湯浅町,11122
2020年,30362,広川町,6781
2020年,30366,有田川町,25258
2020年,30381,美浜町,6867
2020年,30382,日高町,7673
2020年,30383,由良町,5364
2020年,30390,印南町,7720
2020年,30391,みなべ町,11818
2020年,30392,日高川町,9219
2020年,30401,白浜町,20262
2020年,30404,上富田町,15236
2020年,30406,すさみ町,3685
2020年,30421,那智勝浦町,14137
2020年,30422,太地町,2791
2020年,30424,古座川町,2480
2020年,30427,北山村,404
2020年,30428,串本町,14959
2020年,31000,鳥取県,553407
2020年,31201,鳥取市,188465
2020年,31202,米子市,147317
2020年,31203,倉吉市,46485
2020年,31204,境港市,32740
2020年,31302,岩美町,10799
2020年,31325,若桜町,2864
2020年,31328,智頭町,6427
2020年,31329,八頭町,15937
2020年,31364,三朝町,6060
2020年,31370,湯梨浜町,16055
2020年,31371,琴浦町,16365
2020年,31372,北栄町,14228
2020年,31384,日吉津村,3501
2020年,31386,大山町,15370
2020年,31389,南部町,10323
2020年,31390,伯耆町,10696
2020年,31401,日南町,4196
2020年,31402,日野町,2907
2020年,31403,江府町,2672
2020年,32000,島根県,671126
2020年,32201,松江市,203616
2020年,32202,浜田市,54592
2020年,32203,出雲市,172775
2020年,32204,益田市,45003
2020年,32205,大田市,32846
2020年,32206,安来市,37062
2020年,32207,江津市,22959
2020年,32209,雲南市,36007
2020年,32343,奥出雲町,11849
2020年,32386,飯南町,4577
2020年,32441,川本町,3248
2020年,32448,美郷町,4355
2020年,32449,邑南町,10163
2020年,32501,津和野町,6875
2020年,32505,吉賀町,6077
2020年,32525,海士町,2267
2020年,32526,西ノ島町,2788
2020年,32527,知夫村,634
2020年,32528,隠岐の島町,13433
2020年,33000,岡山県,1888432
2020年,33100,岡山市,724691
2020年,33101,岡山市北区,314523
2020年,33102,岡山市中区,149232
2020年,33103,岡山市東区,93108
2020年,33104,岡山市南区,167828
2020年,33202,倉敷市,474592
2020年,33203,津山市,99937
2020年,33204,玉野市,56531
2020年,33205,笠岡市,46088
2020年,33207,井原市,38384
2020年,33208,総社市,69030
2020年,33209,高梁市,29072
2020年,33210,新見市,28079
2020年,33211,備前市,32320
2020年,33212,瀬戸内市,36048
2020年,33213,赤磐市,42661
2020年,33214,真庭市,42725
2020年,33215,美作市,25939
2020年,33216,浅口市,32772
2020年,33346,和気町,13623
2020年,33423,早島町,12368
2020年,33445,里庄町,10950
2020年,33461,矢掛町,13414
2020年,33586,新庄村,813
2020年,33606,鏡野町,12062
2020年,33622,勝央町,10888
2020年,33623,奈義町,5578
2020年,33643,西粟倉村,1398
2020年,33663,久米南町,4530
2020年,33666,美咲町,13053
2020年,33681,吉備中央町,10886
2020年,34000,広島県,2799702
2020年,34100,広島市,1200754
2020年,34101,広島市中区,142699
2020年,34102,広島市東区,119353
2020年,34103,広島市南区,145805
2020年,34104,広島市西区,190232
2020年,34105,広島市安佐南区,247020
2020年,34106,広島市安佐北区,138979
2020年,34107,広島市安芸区,77103
2020年,34108,広島市佐伯区,139563
2020年,34202,呉市,214592
2020年,34203,竹原市,23993
2020年,34204,三原市,90573
2020年,34205,尾道市,131170
2020年,34207,福山市,460930
2020年,34208,府中市,37655
2020年,34209,三次市,50681
2020年,34210,庄原市,33633
2020年,34211,大竹市,26319
2020年,34212,東広島市,196608
2020年,34213,廿日市市,114173
2020年,34214,安芸高田市,26448
2020年,34215,江田島市,21930
2020年,34302,府中町,51155
2020年,34304,海田町,29636
2020年,34307,熊野町,22834
2020年,34309,坂町,12582
2020年,34368,安芸太田町,5740
2020年,34369,北広島町,17763
2020年,34431,大崎上島町,7158
2020年,34462,世羅町,15125
2020年,34545,神石高原町,8250
2020年,35000,山口県,1342059
2020年,35201,下関市,255051
2020年,35202,宇部市,162570
2020年,35203,山口市,193966
2020年,35204,萩市,44626
2020年,35206,防府市,113979
2020年,35207,下松市,55887
2020年,35208,岩国市,129125
2020年,35210,光市,49798
2020年,35211,長門市,32519
2020年,35212,柳井市,30799
2020年,35213,美祢市,23247
2020年,35215,周南市,137540
2020年,35216,山陽小野田市,60326
2020年,35305,周防大島町,14798
2020年,35321,和木町,6034
2020年,35341,上関町,2342
2020年,35343,田布施町,14483
2020年,35344,平生町,11914
2020年,35502,阿武町,3055
2020年,36000,徳島県,719559
2020年,36201,徳島市,252391
2020年,36202,鳴門市,54622
2020年,36203,小松島市,36149
2020年,36204,阿南市,69470
2020年,36205,吉野川市,38772
2020年,36206,阿波市,34713
2020年,36207,美馬市,28055
2020年,36208,三好市,23605
2020年,36301,勝浦町,4837
2020年,36302,上勝町,1380
2020年,36321,佐那河内村,2058
2020年,36341,石井町,24833
2020年,36342,神山町,4647
2020年,36368,那賀町,7367
2020年,36383,牟岐町,3743
2020年,36387,美波町,6222
2020年,36388,海陽町,8358
2020年,36401,松茂町,14583
2020年,36402,北島町,22745
2020年,36403,藍住町,35246
2020年,36404,板野町,13042
2020年,36405,上板町,11384
2020年,36468,つるぎ町,7715
2020年,36489,東みよし町,13622
2020年,37000,香川県,950244
2020年,37201,高松市,417496
2020年,37202,丸亀市,109513
2020年,37203,坂出市,50624
2020年,37204,善通寺市,31631
2020年,37205,観音寺市,57438
2020年,37206,さぬき市,47003
2020年,37207,東かがわ市,28279
2020年,37208,三豊市,61857
2020年,37322,土庄町,12846
2020年,37324,小豆島町,13870
2020年,37341,三木町,26878
2020年,37364,直島町,3103
2020年,37386,宇多津町,18699
2020年,37387,綾川町,22693
2020年,37403,琴平町,8468
2020年,37404,多度津町,22445
2020年,37406,まんのう町,17401
2020年,38000,愛媛県,1334841
2020年,38201,松山市,511192
2020年,38202,今治市,151672
2020年,38203,宇和島市,70809
2020年,38204,八幡浜市,31987
2020年,38205,新居浜市,115938
2020年,38206,西条市,104791
2020年,38207,大洲市,40575
2020年,38210,伊予市,35133
2020年,38213,四国中央市,82754
2020年,38214,西予市,35388
2020年,38215,東温市,33903
2020年,38356,上島町,6509
2020年,38386,久万高原町,7404
2020年,38401,松前町,29630
2020年,38402,砥部町,20480
2020年,38422,内子町,15322
2020年,38442,伊方町,8397
2020年,38484,松野町,3674
2020年,38488,鬼北町,9682
2020年,38506,愛南町,19601
2020年,39000,高知県,691527
2020年,39201,高知市,326545
2020年,39202,室戸市,11742
2020年,39203,安芸市,16243
2020年,39204,南国市,46664
2020年,39205,土佐市,25732
2020年,39206,須崎市,20590
2020年,39208,宿毛市,19033
2020年,39209,土佐清水市,12388
2020年,39210,四万十市,32694
2020年,39211,香南市,32207
2020年,39212,香美市,26513
2020年,39301,東洋町,2194
2020年,39302,奈半利町,3034
2020年,39303,田野町,2498
2020年,39304,安田町,2370
2020年,39305,北川村,1146
2020年,39306,馬路村,745
2020年,39307,芸西村,3694
2020年,39341,本山町,3261
2020年,39344,大豊町,3252
2020年,39363,土佐町,3753
2020年,39364,大川村,366
2020年,39386,いの町,21374
2020年,39387,仁淀川町,4827
2020年,39401,中土佐町,6002
2020年,39402,佐川町,12323
2020年,39403,越知町,5187
2020年,39405,檮原町,3307
2020年,39410,日高村,4812
2020年,39411,津野町,5291
2020年,39412,四万十町,15607
2020年,39424,大月町,4434
2020年,39427,三原村,1437
2020年,39428,黒潮町,10262
2020年,40000,福岡県,5135214
2020年,40100,北九州市,939029
2020年,40101,北九州市門司区,93842
2020年,40103,北九州市若松区,80533
2020年,40105,北九州市戸畑区,57494
2020年,40106,北九州市小倉北区,183407
2020年,40107,北九州市小倉南区,209028
2020年,40108,北九州市八幡東区,64792
2020年,40109,北九州市八幡西区,249933
2020年,40130,福岡市,1612392
2020年,40131,福岡市東区,322503
2020年,40132,福岡市博多区,252034
2020年,40133,福岡市中央区,205501
2020年,40134,福岡市南区,265583
2020年,40135,福岡市西区,212579
2020年,40136,福岡市城南区,132864
2020年,40137,福岡市早良区,221328
2020年,40202,大牟田市,111281
2020年,40203,久留米市,303316
2020年,40204,直方市,56212
2020年,40205,飯塚市,126364
2020年,40206,田川市,46203
2020年,40207,柳川市,64475
2020年,40210,八女市,60608
2020年,40211,筑後市,48827
2020年,40212,大川市,32988
2020年,40213,行橋市,71426
2020年,40214,豊前市,24391
2020年,40215,中間市,40362
2020年,40216,小郡市,59360
2020年,40217,筑紫野市,103311
2020年,40218,春日市,111023
2020年,40219,大野城市,102085
2020年,40220,宗像市,97095
2020年,40221,太宰府市,73164
2020年,40223,古賀市,58786
2020年,40224,福津市,67033
2020年,40225,うきは市,27981
2020年,40226,宮若市,26298
2020年,40227,嘉麻市,35473
2020年,40228,朝倉市,50273
2020年,40229,みやま市,35861
2020年,40230,糸島市,98877
2020年,40231,那珂川市,50112
2020年,40341,宇美町,37671
2020年,40342,篠栗町,31209
2020年,40343,志免町,46377
2020年,40344,須恵町,28628
2020年,40345,新宮町,32927
2020年,40348,久山町,9068
2020年,40349,粕屋町,48190
2020年,40381,芦屋町,13545
2020年,40382,水巻町,28114
2020年,40383,岡垣町,31007
2020年,40384,遠賀町,18723
2020年,40401,小竹町,7151
2020年,40402,鞍手町,15080
2020年,40421,桂川町,12878
2020年,40447,筑前町,29591
2020年,40448,東峰村,1899
2020年,40503,大刀洗町,15521
2020年,40522,大木町,13820
2020年,40544,広川町,19969
2020年,40601,香春町,10191
2020年,40602,添田町,8801
2020年,40604,糸田町,8407
2020年,40605,川崎町,15176
2020年,40608,大任町,5008
2020年,40609,赤村,2774
2020年,40610,福智町,21398
2020年,40621,苅田町,37684
2020年,40625,みやこ町,18825
2020年,40642,吉富町,6536
2020年,40646,上毛町,7251
2020年,40647,築上町,17189
2020年,41000,佐賀県,811442
2020年,41201,佐賀市,233301
2020年,41202,唐津市,117373
2020年,41203,鳥栖市,74196
2020年,41204,多久市,18295
2020年,41205,伊万里市,52629
2020年,41206,武雄市,47914
2020年,41207,鹿島市,27892
2020年,41208,小城市,43952
2020年,41209,嬉野市,25848
2020年,41210,神埼市,31022
2020年,41327,吉野ヶ里町,16323
2020年,41341,基山町,17250
2020年,41345,上峰町,9286
2020年,41346,みやき町,25511
2020年,41387,玄海町,5609
2020年,41401,有田町,19010
2020年,41423,大町町,6293
2020年,41424,江北町,9566
2020年,41425,白石町,22051
2020年,41441,太良町,8121
2020年,42000,長崎県,1312317
2020年,42201,長崎市,409118
2020年,42202,佐世保市,243223
2020年,42203,島原市,43338
2020年,42204,諫早市,133852
2020年,42205,大村市,95397
2020年,42207,平戸市,29365
2020年,42208,松浦市,21271
2020年,42209,対馬市,28502
2020年,42210,壱岐市,24948
2020年,42211,五島市,34391
2020年,42212,西海市,26275
2020年,42213,雲仙市,41096
2020年,42214,南島原市,42330
2020年,42307,長与町,40780
2020年,42308,時津町,29339
2020年,42321,東彼杵町,7721
2020年,42322,川棚町,13377
2020年,42323,波佐見町,14291
2020年,42383,小値賀町,2288
2020年,42391,佐々町,13912
2020年,42411,新上五島町,17503
2020年,43000,熊本県,1738301
2020年,43100,熊本市,738865
2020年,43101,熊本市中央区,187502
2020年,43102,熊本市東区,189524
2020年,43103,熊本市西区,91177
2020年,43104,熊本市南区,130829
2020年,43105,熊本市北区,139833
2020年,43202,八代市,123067
2020年,43203,人吉市,31108
2020年,43204,荒尾市,50832
2020年,43205,水俣市,23557
2020年,43206,玉名市,64292
2020年,43208,山鹿市,49025
2020年,43210,菊池市,46416
2020年,43211,宇土市,36122
2020年,43212,上天草市,24563
2020年,43213,宇城市,57032
2020年,43214,阿蘇市,24930
2020年,43215,天草市,75783
2020年,43216,合志市,61772
2020年,43348,美里町,9392
2020年,43364,玉東町,5045
2020年,43367,南関町,8979
2020年,43368,長洲町,15372
2020年,43369,和水町,9342
2020年,43403,大津町,35187
2020年,43404,菊陽町,43337
2020年,43423,南小国町,3750
