都市コード,都市名,国名
ATS,ARTESIA,United States of America
ATT,ATMAUTLUAK,United States of America
ATU,ATTU ISLAND,United States of America
ATV,ATI,Chad
ATW,APPLETON,United States of America
ATY,WATERTOWN,United States of America
ATZ,ASYUT,Egypt
AUA,ARUBA,Aruba
AUC,ARAUCA,Colombia
AUD,AUGUSTUS DOWNS,Australia
AUG,AUGUSTA,United States of America
AUH,ABU DHABI,United Arab Emirates
AUI,AUA ISLAND,Papua New Guinea
AUJ,AMBUNTI,Papua New Guinea
AUK,ALAKANUK,United States of America
AUL,AUR ISLAND,Marshall Islands
AUM,AUSTIN,United States of America
AUO,AUBURN,United States of America
AUP,AGAUN,Papua New Guinea
AUQ,ATUONA,French Polynesia
AUR,AURILLAC,France
AUS,AUSTIN,United States of America
AUU,AURUKUN,Australia
AUV,AUMO,Papua New Guinea
AUW,WAUSAU,United States of America
AUX,ARAGUAINA,Brazil
AUY,ANATOM ISLAND,Vanuatu
AVA,ANSHUN,"China, People’s Republic of"
AVI,CIEGO DE AVILA,Cuba
AVL,ASHEVILLE,United States of America
AVL,HENDERSONVILLE,United States of America
AVN,AVIGNON,France
AVP,SCRANTON,United States of America
AVP,WILKES-BARRE,United States of America
AVU,AVU AVU,Solomon Islands
AVX,AVALON BAY,United States of America
AVX,CATALINA ISLAND,United States of America
AWA,AWASA,Ethiopia
AWB,AWABA,Papua New Guinea
AWD,ANIWA ISLAND,Vanuatu
AWH,AWAREH,Ethiopia
AWK,WAKE ISLAND,"United States Minor Outlying Islands (includes Johnston Atoll, Midway Islands, Wake Is.)"
AWR,AWAR,Papua New Guinea
AWZ,AHWAZ,Iran (Islamic Republic of)
AXA,ANGUILLA,Anguilla
AXB,ALEXANDRIA BAY,United States of America
AXC,ARAMAC,Australia
AXD,ALEXANDROUPOLIS,Greece
AXK,ATAQ,Yemen
AXM,ARMENIA,Colombia
AXP,SPRING POINT,Bahamas
AXR,ARUTUA,French Polynesia
AXT,AKITA,Japan
AXU,AXUM,Ethiopia
AXX,ANGEL FIRE,United States of America
AYC,AYACUCHO,Colombia
AYD,ALROY DOWNS,Australia
AYG,YAGUARA II,Colombia
AYK,ARKALYK,Kazakhstan
AYP,AYACUCHO,Peru
AYQ,AYERS ROCK,Australia
AYT,ANTALYA,Turkey
AYU,AIYURA,Papua New Guinea
AYW,AYAWASI,Indonesia
AYX,ATALAYA,Peru
AZB,AMAZON BAY,Papua New Guinea
AZD,YAZD,Iran (Islamic Republic of)
AZN,ANDIZHAN,Uzbekistan
AZO,KALAMAZOO/BATTLE CREEK,United States of America
AZR,ADRAR,Algeria
AZS,SAMANA,Dominican Republic
AZZ,AMBRIZ,Angola
BAA,BIALLA,Papua New Guinea
BAF,WESTFIELD,United States of America
BAG,BAGUIO,Philippines
BAH,BAHRAIN,Bahrain
BAJ,BALI,Papua New Guinea
BAK,BAKU,Azerbaijan
BAL,BATMAN,Turkey
BAP,BAIBARA,Papua New Guinea
BAQ,BARRANQUILLA,Colombia
BAR,QIONGHAI,"China, People’s Republic of"
BAS,BALALAE,Solomon Islands
BAT,BARRETOS,Brazil
BAV,BAOTOU,"China, People’s Republic of"
BAX,BARNAUL,Russia (in Asia)
BAY,BAIA MARE,Romania
BAZ,BARCELOS,Brazil
BBA,BALMACEDA,Chile
BBF,BURLINGTON,United States of America
BBG,BUTARITARI,Kiribati
BBH,BARTH,Germany
BBI,BHUBANESHWAR,India (including Andaman Isl.)
BBK,KASANE,Botswana
BBM,BATTAMBANG,Cambodia
BBN,BARIO,Malaysia
BBO,BERBERA,Somalia
BBQ,BARBUDA,Antigua and Barbuda
BBR,BASSE-TERRE,Guadeloupe
BBS,BLACKBUSHE,United Kingdom
BBT,BERBERATI,Central African Rep.
BBV,GRAND BEREBY,Cote d’Ivoire
BBX,BLUE BELL,United States of America
BBY,BAMBARI,Central African Rep.
BBZ,ZAMBEZI,Zambia
BCA,BARACOA,Cuba
BCD,BACOLOD,Philippines
BCE,BRYCE,United States of America
BCG,BEMICHI,Guyana
BCI,BARCALDINE,Australia
BCJ,BACA GRANDE,United States of America
BCK,BOLWARRA,Australia
BCL,BARRA DEL COLORADO,Costa Rica
BCM,BACAU,Romania
BCN,BARCELONA,Spain and Canary Islands
BCO,JINKA,Ethiopia
BCP,BAMBU,Papua New Guinea
BCS,BELLE CHASSE,United States of America
BCV,BELMOPAN,Belize
BCW,BENGUERRA ISLAND,Mozambique
BCX,BELORETSK,Russia (in Europe)
BCY,BULCHI,Ethiopia
BCZ,BICKERTON ISLAND,Australia
BDA,BERMUDA,Bermuda
BDA,HAMILTON,Bermuda
BDB,BUNDABERG,Australia
BDC,BARRA DO CORDA,Brazil
BDD,BADU ISLAND,Australia
BDH,BANDAR LENGEH,Iran (Islamic Republic of)
BDI,BIRD ISLAND,Seychelles
BDJ,BANJARMASIN,Indonesia
BDK,BONDOUKOU,Cote d’Ivoire
BDL,WINDSOR LOCKS,United States of America
BDN,BADIN,Pakistan
BDO,BANDUNG,Indonesia
BDP,BHADRAPUR,Nepal
BDQ,VADODARA,India (including Andaman Isl.)
BDR,BRIDGEPORT,United States of America
BDS,BRINDISI,Italy
BDT,GBADOLITE,"Congo, Democratic Republic of"
BDU,BARDUFOSS,Norway
BDY,BANDON,United States of America
BDZ,BAINDOUNG,Papua New Guinea
BEA,BEREINA,Papua New Guinea
BEB,BENBECULA,United Kingdom
BED,BEDFORD/HANSCOM,United States of America
BEF,BLUEFIELDS,Nicaragua
BEG,BELGRADE,Serbia
BEH,BENTON HARBOR,United States of America
BEI,BEICA,Ethiopia
BEJ,TANJUNG REDEH,Indonesia
BEK,BAREILLY,India (including Andaman Isl.)
BEL,BELEM,Brazil
BEM,BENI MELLAL,Morocco
BEN,BENGHAZI,Libya
BEP,BELLARY,India (including Andaman Isl.)
BER,BERLIN,Germany
BES,BREST,France
BET,BETHEL,United States of America
BEU,BEDOURIE,Australia
BEV,BEERSHEBA,Israel
BEW,BEIRA,Mozambique
BEY,BEIRUT,Lebanon
BEZ,BERU,Kiribati
BFC,BLOOMFIELD RIVER,Australia
BFD,BRADFORD,United States of America
BFF,SCOTTSBLUFF,United States of America
BFJ,BA,Fiji
BFJ,BIJIE,"China, People’s Republic of"
BFL,BAKERSFIELD,United States of America
BFN,BLOEMFONTEIN,South Africa
BFO,CHIREDZI,Zimbabwe
BFP,BEAVER FALLS,United States of America
BFQ,BAHIA PINA,Panama
BFR,BEDFORD,United States of America
BFS,BELFAST,United Kingdom
BFT,BEAUFORT,United States of America
BFU,BENGBU,"China, People’s Republic of"
BFV,BURIRAM,Thailand
BFX,BAFOUSSAM,Cameroon
BGA,BUCARAMANGA,Colombia
BGB,BOOUE,Gabon
BGC,BRAGANCA,Portugal (including Azores & Madeira)
BGF,BANGUI,Central African Rep.
BGG,BINGOL,Tokelau
BGH,BOGHE,Mauritania
BGI,BARBADOS,Barbados
BGI,BRIDGETOWN,Barbados
BGJ,BORGARFJORDUR EYSTRI,Iceland
BGK,BIG CREEK,Belize
BGL,BAGLUNG,Nepal
BGM,BINGHAMTON,United States of America
BGM,ENDICOTT,United States of America
BGM,JOHNSON CITY,United States of America
BGO,BERGEN,Norway
BGR,BANGOR,United States of America
BGT,BAGDAD,United States of America
BGU,BANGASSOU,Central African Rep.
BGW,BAGHDAD,Iraq
BGX,BAGE,Brazil
BGZ,BRAGA,Portugal (including Azores & Madeira)
BHA,BAHIA DE CARAQUEZ,Ecuador
BHB,BAR HARBOUR,United States of America
BHE,BLENHEIM,New Zealand
BHF,CUPICA,Colombia
BHG,BRUS LAGUNA,Honduras
BHH,BISHA,Saudi Arabia
BHI,BAHIA BLANCA,Argentina
BHJ,BHUJ,India (including Andaman Isl.)
BHK,BUKHARA,Uzbekistan
BHM,BIRMINGHAM,United States of America
BHN,BEIHAN,Yemen
BHO,BHOPAL,India (including Andaman Isl.)
BHP,BHOJPUR,Nepal
BHQ,BROKEN HILL,Australia
BHR,BHARATPUR,Nepal
BHS,BATHURST,Australia
BHU,BHAVNAGAR,India (including Andaman Isl.)
BHV,BAHAWALPUR,Pakistan
BHX,BIRMINGHAM,United Kingdom
BHY,BEIHAI,"China, People’s Republic of"
BHZ,BELO HORIZONTE,Brazil
BIA,BASTIA,France
BIB,BAIDOA,Somalia
BID,BLOCK ISLAND,United States of America
BIG,BIG DELTA,United States of America
BIH,BISHOP,United States of America
BII,BIKINI ATOLL,Marshall Islands
BIK,BIAK,Indonesia
BIL,BILLINGS,United States of America
BIM,BIMINI,Bahamas
BIN,BAMYAN,Afghanistan
BIO,BILBAO,Spain and Canary Islands
BIQ,BIARRITZ,France
BIR,BIRATNAGAR,Nepal
BIS,BISMARCK,United States of America
BIT,BAITADI,Nepal
BIU,BILDUDALUR,Iceland
BIV,BRIA,Central African Rep.
BIW,BILLILUNA,Australia
BIY,BHISHO,South Africa
BIZ,BIMIN,Papua New Guinea
BJA,BEJAIA,Algeria
BJB,BOJNORD,Iran (Islamic Republic of)
BJD,BAKKAFJORDUR,Iceland
BJF,BATSFJORD,Norway
BJH,BAJHANG,Nepal
BJI,BEMIDJI,United States of America
BJK,NUNGASURI ARU ISLAND,Indonesia
BJL,BANJUL,Gambia
BJM,BUJUMBURA,Burundi
BJO,BERMEJO,Bolivia
BJR,BAHAR DAR,Ethiopia
BJS,BEIJING,"China, People’s Republic of"
BJT,BENTOTA,Sri Lanka
BJU,BAJURA,Nepal
BJV,BODRUM,Turkey
BJW,BAJAWA,Indonesia
BJX,LEON/GUANAJUATO,Mexico
BJZ,BADAJOZ,Spain and Canary Islands
BKB,BIKANER,India (including Andaman Isl.)
BKC,BUCKLAND,United States of America
BKE,BAKER,United States of America
BKG,BRANSON,United States of America
BKI,KOTA KINABALU,Malaysia
BKJ,BOKE,Guinea
BKK,BANGKOK,Thailand
BKM,BAKELALAN,Malaysia
BKO,BAMAKO,Mali
BKP,BARKLY DOWNS,Australia
BKQ,BLACKALL,Australia
BKR,BOKORO,Chad
BKS,BENGKULU,Indonesia
BKU,BETIOKY,Madagascar
BKW,BECKLEY,United States of America
BKX,BROOKINGS,United States of America
BKY,BUKAVU,"Congo, Democratic Republic of"
BKZ,BUKOBA,Tanzania
BLA,BARCELONA,Venezuela
BLB,BALBOA,Panama
BLC,BALI,Cameroon
BLE,BORLANGE,Sweden
BLF,BLUEFIELD,United States of America
BLF,PRINCETON,United States of America
BLG,BELAGA,Malaysia
BLH,BLYTHE,United States of America
BLI,BELLINGHAM,United States of America
BLJ,BATNA,Algeria
BLK,BLACKPOOL,United Kingdom
BLL,BILLUND,Denmark
BLO,BLONDUOS,Iceland
BLQ,BOLOGNA,Italy
BLR,BENGALURU,India (including Andaman Isl.)
BLT,BLACKWATER,Australia
BLZ,BLANTYRE,Malawi
BMB,BUMBA,"Congo, Democratic Republic of"
BMD,BELO TSIRIBIHINA,Madagascar
BME,BROOME,Australia
BMF,BAKOUMA,Central African Rep.
BMG,BLOOMINGTON,United States of America
BMH,BOMAI,Papua New Guinea
BMI,BLOOMINGTON-NORMAL,United States of America
BMJ,BARAMITA,Guyana
BMK,BORKUM,Germany
BML,BERLIN,United States of America
BMM,BITAM,Gabon
BMO,BHAMO,Myanmar
BMP,BRAMPTON ISLAND,Australia
BMU,BIMA,Indonesia
BMV,BAN ME THUOT,Vietnam
BMW,BORDJ MOKHTAR,Algeria
BMY,ILE ART,New Caledonia (including Loyalty Islands)
BMZ,BAMU,Papua New Guinea
BNA,NASHVILLE,United States of America
BNB,BOENDE,"Congo, Democratic Republic of"
BNC,BENI,"Congo, Democratic Republic of"
BND,BANDAR ABBAS,Iran (Islamic Republic of)
BNE,BRISBANE,Australia
BNF,BARANOF,United States of America
BNI,BENIN CITY,Nigeria
BNJ,BONN,Germany
BNK,BALLINA,Australia
BNM,BODINUMU,Papua New Guinea
BNN,BRONNOYSUND,Norway
BNO,BURNS,United States of America
BNP,BANNU,Pakistan
BNS,BARINAS,Venezuela
BNT,BUNDI,Papua New Guinea
BNU,BLUMENAU,Brazil
BNV,BOANA,Papua New Guinea
BNX,BANJA LUKA,Bosnia and Herzegovina
BNY,BELLONA,Solomon Islands
BNZ,BANZ,Papua New Guinea
BOA,BOMA,"Congo, Democratic Republic of"
BOB,BORA BORA,French Polynesia
BOC,BOCAS DEL TORO,Panama
BOD,BORDEAUX,France
BOE,BOUNDJI,Congo
BOG,BOGOTA,Colombia
BOH,BOURNEMOUTH,United Kingdom
BOI,BOISE,United States of America
BOJ,BURGAS,Bulgaria
BOK,BROOKINGS,United States of America
BOM,MUMBAI,India (including Andaman Isl.)
BON,BONAIRE,"Bonaire, Sint Eustatius and Saba"
BOO,BODO,Norway
BOP,BOUAR,Central African Rep.
BOQ,BOKU,Papua New Guinea
BOR,BELFORT,France
BOS,BOSTON,United States of America
BOU,BOURGES,France
BOV,BOANG,Papua New Guinea
BOW,BARTOW,United States of America
BOX,BORROLOOLA,Australia
BOY,BOBO DIOULASSO,Burkina Faso
BPB,BORIDI,Papua New Guinea
BPC,BAMENDA,Cameroon
BPD,BAPI,Papua New Guinea
BPE,QINHUANGDAO,"China, People’s Republic of"
BPG,BARRA DO GARCAS,Brazil
BPH,BISLIG,Philippines
BPN,BALIKPAPAN,Indonesia
BPS,PORTO SEGURO,Brazil
BPT,BEAUMONT/PORT ARTHUR,United States of America
BPX,QAMDO/CHANGDU,"China, People’s Republic of"
BPY,BESALAMPY,Madagascar
BQB,BUSSELTON,Australia
BQE,BUBAQUE,Guinea-Bissau
BQL,BOULIA,Australia
BQN,AGUADILLA,Puerto Rico
BQO,BOUNA,Cote d’Ivoire
BQQ,BARRA,Brazil
BQS,BLAGOVESHCHENSK,Russia (in Asia)
BQT,BREST,Belarus
BQU,BEQUIA,St. Vincent and the Grenadines
BQW,BALGO HILL,Australia
BQY,BENTIVOGLIO,Italy
BRA,BARREIRAS,Brazil
BRB,BARREIRINHAS,Brazil
BRC,SAN CARLOS BARILOCHE,Argentina
BRD,BRAINERD,United States of America
BRE,BREMEN,Germany
BRF,LEEDS/BRADFORD,United Kingdom
BRH,BRAHMAN,Papua New Guinea
BRI,BARI,Italy
BRK,BOURKE,Australia
BRL,BURLINGTON,United States of America
BRM,BARQUISIMETO,Venezuela
BRN,BERNE,Switzerland
BRO,BROWNSVILLE,United States of America
BRP,BIARU,Papua New Guinea
BRQ,BRNO,Czech Republic
BRR,BARRA,United Kingdom
BRS,BRISTOL,United Kingdom
BRT,BATHURST ISLAND,Australia
BRU,BRUSSELS,Belgium
BRV,BREMERHAVEN,Germany
BRW,BARROW,United States of America
BRX,BARAHONA,Dominican Republic
BSA,BOSSASO,Somalia
BSB,BRASILIA,Brazil
BSC,BAHIA SOLANO,Colombia
BSD,BAOSHAN,"China, People’s Republic of"
BSG,BATA,Equatorial Guinea
BSJ,BAIRNSDALE,Australia
BSK,BISKRA,Algeria
BSL,BASLE,Switzerland
BSO,BASCO,Philippines
BSP,BENSBACH,Papua New Guinea
BSR,BASRAH,Iraq
BSS,BALSAS,Brazil
BST,LASHKAR GAH,Afghanistan
BSU,BASANKUSU,"Congo, Democratic Republic of"
BSX,PATHEIN,Myanmar
BSY,BARDERA,Somalia
BSZ,BARTLETTS,United States of America
BTA,BERTOUA,Cameroon
BTC,BATTICALOA,Sri Lanka
BTD,BRUNETTE DOWNS,Australia
BTE,BONTHE,Sierra Leone
BTH,BATAM,Indonesia
BTI,BARTER ISLAND,United States of America
BTJ,BANDA ACEH,Indonesia
BTK,BRATSK,Russia (in Asia)
BTL,BATTLE CREEK,United States of America
BTM,BUTTE,United States of America
BTN,BENNETTSVILLE,United States of America
BTO,BOTOPASI,Suriname
BTR,BATON ROUGE,United States of America
BTS,BRATISLAVA,Slovak Republic
BTT,BETTLES,United States of America
BTU,BINTULU,Malaysia
BTV,BURLINGTON,United States of America
BUA,BUKA,Papua New Guinea
BUC,BURKETOWN,Australia
BUD,BUDAPEST,Hungary
BUE,BUENOS AIRES,Argentina
BUF,BUFFALO,United States of America
BUG,BENGUELA,Angola
BUH,BUCHAREST,Romania
BUI,BOKONDINI,Indonesia
BUJ,BOU SAADA,Algeria
BUK,AL BUQ,Yemen
BUL,BULOLO,Papua New Guinea
BUN,BUENAVENTURA,Colombia
BUO,BURAO,Somalia
BUP,BATHINDA,India (including Andaman Isl.)
BUQ,BULAWAYO,Zimbabwe
BUR,BURBANK,United States of America
BUS,BATUMI,Georgia
BUU,MUARA BUNGO,Indonesia
BUV,BELLA UNION,Uruguay
BUW,BAUBAU,Indonesia
BUX,BUNIA,"Congo, Democratic Republic of"
BUY,BUNBURY,Australia
BUZ,BUSHEHR,Iran (Islamic Republic of)
BVB,BOA VISTA,Brazil
BVC,BOA VISTA ISLAND,Cape Verde
BVE,BRIVE-LA-GAILLARDE,France
BVF,BUA,Fiji
BVG,BERLEVAG,Norway
BVH,VILHENA,Brazil
BVI,BIRDSVILLE,Australia
BVM,BELMONTE,Brazil
BVP,BOLOVIP,Papua New Guinea
BVR,BRAVA ISLAND,Cape Verde
BVS,BREVES,Brazil
BVZ,BEVERLEY SPRINGS,Australia
